ID,ALERTCATEGORY,ALERTID,ALERTSOURCE,USERID,USERNAME,THREATID,THREATNAME,THREATCATEGORY,THREATSEVERITY,TIMESTAMP,TICKETINCIDENTTYPE,SOURCEIP,HOSTHOSTNAME,DEVICENAME,DESTINATIONIP,FILENAME,EMAILQUALIFICATION,EMAILREPLYTO,EMAILSUBJECT,EMAILTO,TICKETCONCLUSION,THREATTECHNICID,TICKETNUMBER,TICKETEXTERNALID,TICKETIMPACT,TICKETINCIDENTSTATUS,TICKETNOTIFICATIONDATE,TICKETOPENEDDATE,TICKETPRIORITY,TICKETQUALIFICATION,TICKETQUALIFICATIONDATE,TICKETREPORTDATE,TICKETSERVICE,MITRETACTICNAME,MITRETECHNIQUEID,OS,OSVERSION,COUNTRY,SERVICESTATE,ACCOUNT,CATEGORY,CLOSEREASON,CREATED,OCCURRED,OPENDURATION,CLOSED,TYPE,SEVERITY,VERSION,RUNSTATUS,INVESTIGATIONID,NOTIFYTIME,DATE_LOAD,RULENAME,SOURCEURGENCY,ISOLATED,REASON_OF_ISOLATION,ISOLATION_RISK,ISOLATION_KEY_REASON,ISOLATION_DATE,CLOSENOTES,LINKEDINCIDENTS,LINKEDCOUNT,AUTO_ISOLATION,REASON_OF_UNISOLATION,UNISOLATION_DATE,SOURCE_INSTANCE,SOURCE_BRAND,CUSTOMER_TARGETED,RISK_SCORE,LOAD_DATE,rn
1460109,None,None,CustomerTI,None,No result returned,None,None,SuspiciousActivity,threat_severity,2025-01-28T07:08:32.3624091Z,ssg_other,None,None,item-s126323.emea.msad.sopra,workstation,Files/SI/SECURITY/SOAR/stix-incidents-CUST-002_2025-05-28.json,None,None,None,None,None,None,None,INC0603042,3,Closed,2025-01-28T13:00:44Z,2025-01-28T13:00:16Z,2,Déqualifié,2025-03-17T17:15:35Z,None,SOC - Incident - Workstation alert,SuspiciousActivity,None,None,None,None,None,CUST-002,None,,2025-01-28T07:19:58+00:00,2025-01-28T07:19:51.04Z,0,0001-01-01T00:00:00Z,generic-default_case,3.0,None,None,1460109,None,,Other recent Trickbot C2s,None,True,Potential credential theft,Account/Aseet compromise,"['Exfiltration attempts / Suspicious communications', 'Malicious file / process', 'Defense evasion']",Tue Jan 28 2025 10:00:21 GMT+0000 (UTC),Data exfiltrated to a potential C2 web domain through a malicious redirection. The asset has been isolated. ,None,0,None,None,None,Defender MDE CUST-002,Microsoft Defender Advanced Threat Protection,None,None,2025-06-10 08:46:30,1
1546307,None,None,WindowsDefenderAtp,None,No result returned,None,None,CredentialAccess,threat_severity,2025-03-04T14:55:37.3358827Z,ssg_other,None,None,item-s174783.emea.msad.sopra,workstation,Files/SI/SECURITY/SOAR/stix-incidents-CUST-002_2025-05-28.json,None,None,None,None,None,None,None,INC0622887,3,Closed,2025-03-04T17:02:05Z,2025-03-04T17:01:39Z,1,Déqualifié,2025-03-10T09:30:06Z,None,SOC - Incident - Workstation alert,CredentialAccess,None,None,None,None,None,CUST-002,None,,2025-03-04T14:58:09+00:00,2025-03-04T14:57:38.8Z,0,0001-01-01T00:00:00Z,generic-default_case,3.0,None,None,1546307,None,,Connection to adversary-in-the-middle (AiTM) phishing site,None,False,Credential theft,Compromised Credential,['Internal Discovery'],Tue Mar 04 2025 17:11:31 GMT+0000 (UTC),"Connection to adversary-in-the-middle (AiTM) phishing site when user clicked on a link present in the outlook.
Pivoting on the timeline immediately after the connection we observe msedge.exe attempted to decrypt credentials and later attempted to encrypt credentials.
Because the user credential might be compromised, we decided to isolate the machine.",None,0,None,All passwords reset and full scan done with no threats found.,Fri Mar 07 2025 14:27:48 GMT+0000 (UTC),Defender MDE CUST-002,Microsoft Defender Advanced Threat Protection,None,None,2025-06-10 08:46:30,1
1570001,None,None,WindowsDefenderAtp,None,tcueille,None,None,Execution,threat_severity,2025-03-14T07:56:14.4930844Z,ssg_other,None,None,item-s129255.emea.msad.sopra,workstation,Files/SI/SECURITY/SOAR/stix-incidents-CUST-002_2025-05-28.json,None,None,None,None,None,None,None,INC0627278,3,Closed,2025-03-14T11:26:15Z,2025-03-14T11:25:45Z,1,Avéré,2025-03-18T08:15:06Z,None,SOC - Incident - Workstation alert,Execution,None,None,None,France,None,CUST-002,None,,2025-03-14T07:59:39+00:00,2025-03-14T07:58:47.9266667Z,0,0001-01-01T00:00:00Z,generic-t1059_001,2.0,None,None,1570001,None,,Suspicious PowerShell command line,None,True,Microsoft Defender exclusion of a folder path,Compromise of the asset,['Malicious file / process'],Fri Mar 14 2025 10:24:48 GMT+0000 (UTC),Suspicious command execution leading to the encryption with AES of files and the decypher of those files in a folder. This folder was then excluded from detection. Asset isolated and remaster requested.,None,0,None,None,None,Defender MDE CUST-002,Microsoft Defender Advanced Threat Protection,None,None,2025-06-10 08:46:30,1
1580426,None,None,None,None,unknown,None,None,None,threat_severity,2025-03-18T14:51:20+00:00,ssg_other,159.203.189.122,frdsi0slspkv08.fr.ghc.local,None,None,Files/SI/SECURITY/SOAR/stix-incidents-CUST-002_2025-05-28.json,None,None,None,None,None,None,None,None,None,New,None,None,None,None,None,None,None,None,None,None,None,None,None,CUST-002,medium-risk,Duplicate,2025-03-18T14:55:52+00:00,2025-03-18T14:51:20+00:00,6370,2025-03-24T12:20:12.43508164Z,generic-default_case,2.0,None,None,1580426,None,,883_36-generic-t1041-exfiltration_over_cc_channel-suspicious_user_agent_threat_intel,None,False,None,None,None,None,Duplicate #1550430 related to INC0623677,None,0,None,None,None,Splunk CUST-002,generic-splunk,None,None,2025-06-10 08:46:30,1
1584891,None,None,WindowsDefenderAv,None,mcaro,None,Backdoor:Linux/GetShell.A!xp,Malware,threat_severity,2025-03-20T10:58:32.7814243Z,ssg_other,None,None,item-s134085.emea.msad.sopra,workstation,Files/SI/SECURITY/SOAR/stix-incidents-CUST-002_2025-05-28.json,None,None,None,None,None,None,None,None,None,New,None,None,None,None,None,None,None,Malware,None,None,None,Spain,None,CUST-002,None,Duplicate,2025-03-20T10:59:30+00:00,2025-03-20T10:59:16.0833333Z,339390,2025-03-24T09:16:00.164137782Z,generic-default_case,1.0,None,None,1584891,None,,'GetShell' backdoor was prevented,None,False,None,None,None,None,Raised in INC0629644 (#1584897),None,0,None,None,None,Defender MDE CUST-002,Microsoft Defender Advanced Threat Protection,None,None,2025-06-10 08:46:30,1
1584895,None,None,WindowsDefenderAv,None,mcaro,None,Exploit:Linux/IntFour.A!xp,Exploit,threat_severity,2025-03-20T10:59:08.3337622Z,ssg_other,None,None,item-s134085.emea.msad.sopra,workstation,Files/SI/SECURITY/SOAR/stix-incidents-CUST-002_2025-05-28.json,None,None,None,None,None,None,None,None,None,New,None,None,None,None,None,None,None,Exploit,None,None,None,Spain,None,CUST-002,None,Duplicate,2025-03-20T11:00:37+00:00,2025-03-20T11:00:18.8033333Z,339323,2025-03-24T09:16:00.164137782Z,generic-default_case,1.0,None,None,1584895,None,,'IntFour' exploit malware was prevented,None,False,None,None,None,None,Raised in INC0629644 (#1584897),None,0,None,None,None,Defender MDE CUST-002,Microsoft Defender Advanced Threat Protection,None,None,2025-06-10 08:46:30,1
1585128,None,None,None,None,None,None,None,None,threat_severity,2025-03-20T13:01:14+00:00,ssg_intrusions,None,frdsi0slspkv08.fr.ghc.local,wmarcdc03,server,Files/SI/SECURITY/SOAR/stix-incidents-CUST-002_2025-05-28.json,None,None,A directory service object was modified,None,None,None,None,None,None,New,None,None,None,None,None,None,None,None,None,None,None,None,None,CUST-002,None,False Positive,2025-03-20T13:14:05+00:00,2025-03-20T13:01:14+00:00,331774,2025-03-24T09:23:39.93901198Z,generic-t1098,1.0,None,None,1585128,None,,146_652-generic-t1098-account_manipulation-active_directory_user_backdoors,None,False,None,None,None,None,"Alert raised because an attribute of a service principal name was modified. Pivoting on the user ""abhissharma.T0"" in MDE, shows that account has proper admin rights on device ""wmarcd03"". Furthermore, no incidents/alerts on user in MDE. ",None,0,None,None,None,Splunk CUST-002,generic-splunk,None,None,2025-06-10 08:46:30,1
1585212,None,None,None,None,None,None,None,None,threat_severity,2025-03-20T14:00:56+00:00,ssg_intrusions,None,frdsi0slspkv08.fr.ghc.local,wnzaydc06,server,Files/SI/SECURITY/SOAR/stix-incidents-CUST-002_2025-05-28.json,None,None,A directory service object was modified,None,None,None,None,None,None,New,None,None,None,None,None,None,None,None,None,None,None,None,None,CUST-002,None,False Positive,2025-03-20T14:06:00+00:00,2025-03-20T14:00:56+00:00,328734,2025-03-24T09:24:54.115905025Z,generic-t1098,1.0,None,None,1585212,None,,146_652-generic-t1098-account_manipulation-active_directory_user_backdoors,None,False,None,None,None,None,"Alert raised because an attribute of a service principal name was modified. Pivoting on the user ""abhissharma.T0"" in MDE, shows that account has proper admin rights on device ""wnzaydc06"". Furthermore, no incidents/alerts on user in MDE. ",None,0,None,None,None,Splunk CUST-002,generic-splunk,None,None,2025-06-10 08:46:30,1
1587246,None,None,None,None,None,None,None,None,threat_severity,2025-03-21T10:01:00+00:00,ssg_intrusions,None,frdsi0slspkv08.fr.ghc.local,wpocansible01,server,Files/SI/SECURITY/SOAR/stix-incidents-CUST-002_2025-05-28.json,None,None,None,None,None,None,None,None,None,New,None,None,None,None,None,None,None,None,None,None,None,None,None,CUST-002,None,False Positive,2025-03-21T10:05:34+00:00,2025-03-21T10:01:00+00:00,236166,2025-03-24T03:41:40.011349591Z,generic-t1068,3.0,None,None,1587246,None,,462_995-generic-t1068-exploitation_for_privilege_escalation-add_user_to_high_privilege_groups,None,False,None,None,None,None,"FP:  Looking up ""wpocansible01.marc.fr.ssg"" on IDcard shows that user ""rleblanc.ADM"" added 3 new members named ""RnD-lautomation.SVC"", ""rndlsrv"", and ""winroot"" to the group of privileges users. Their SID value matches the object_id attribute in Splunk logs.  Pivoting on the Logon_ID attribute in Splunk, no associated malicious activity found. ",None,0,None,None,None,Splunk CUST-002,generic-splunk,None,None,2025-06-10 08:46:30,1
1587258,None,None,None,None,None,None,None,None,threat_severity,2025-03-21T10:05:15+00:00,ssg_other,None,frdsi0slspkv08.fr.ghc.local,VM-FLORES,server,Files/SI/SECURITY/SOAR/stix-incidents-CUST-002_2025-05-28.json,None,None,None,None,None,None,None,None,None,New,None,None,None,None,None,None,None,None,None,None,None,None,None,CUST-002,None,Duplicate,2025-03-21T10:10:59+00:00,2025-03-21T10:05:15+00:00,228786,2025-03-24T01:44:05.947513553Z,generic-default_case,3.0,None,None,1587258,None,,668_786-generic-t1087-account_discovery-active_directory_sensitive_group_discovery,None,False,None,None,None,None,Duplicate to #1587260,['1587260'],1,None,None,None,Splunk CUST-002,generic-splunk,None,None,2025-06-10 08:46:30,1
